"task_id","learner_id","classif.ece","calibration_strategy","calibration_method","base_learner"
"kr-vs-kp","classif.naive_bayes",0.0521701123691066,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.075673699572553,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0716563081571324,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0514703576486297,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0781187920806917,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0560109216090849,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0701129039393913,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0501664492820697,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0391373761241763,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes",0.0554836575560642,"none","none","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0481219653622429,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0332458375967229,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0426220079331189,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0529567799539397,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0517445302400701,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0309381076409134,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0243765283829568,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0380279448845514,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0492236003423681,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_platt",0.0694036183156004,"oof","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0427375716640002,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0336121037412708,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.035850240201891,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0404952564832745,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0404532811576811,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0235528721000618,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0232350932972528,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0232739453509218,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0280567236678084,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_beta",0.0569543569329008,"oof","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0459485028753044,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.058546136650065,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0286273916791412,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0494514203884498,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0461588115599817,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0219510429365803,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0257141851256454,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0291724066984713,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0349898699443171,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.oof_isotonic",0.0331999202780196,"oof","isotonic","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0472919748582777,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0321030066197226,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0437755436717305,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0521886931463684,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0540548960905441,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0241171622929848,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0264439523688772,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0360907161360269,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0489631996333533,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_platt",0.0697270822298061,"perfold","platt","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0423381277693634,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0329584642088117,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0378140541086904,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0444943531137171,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0445501493337344,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0237756404029806,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0282061886629223,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0209027741798667,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0311000152452925,"perfold","beta","naive_bayes"
"kr-vs-kp","classif.naive_bayes_calib.perfold_beta",0.0583425318218216,"perfold","beta","naive_bayes"
